Description:                  Land area not permanently under water.  Source: Natural Resources Conservation Service of the U.S. Dept. of Agriculture.
Holding name:                 Land Area
Collection name:              US County Data
Date class:                   snapshot
Begin date of output:         N/A
End date of output:           N/A
Time step units:              snapshot
Data units:                   N/A,N/A,N/A,km^2
Fill value:                   N/A,N/A,N/A,-9999

FIPS,State,County,Land Area
1001,Alabama,Autauga,1543.7
1003,Alabama,Baldwin,4135.0
1005,Alabama,Barbour,2292.1
1007,Alabama,Bibb,1611.9
1009,Alabama,Blount,1672.3
1011,Alabama,Bullock,1618.9
1013,Alabama,Butler,2012.3
1015,Alabama,Calhoun,1576.0
1017,Alabama,Chambers,1547.3
1019,Alabama,Cherokee,1432.7
1021,Alabama,Chilton,1797.6
1023,Alabama,Choctaw,2366.2
1025,Alabama,Clarke,3207.7
1027,Alabama,Clay,1567.3
1029,Alabama,Cleburne,1450.9
1031,Alabama,Coffee,1759.1
1033,Alabama,Colbert,1539.9
1035,Alabama,Conecuh,2203.8
1037,Alabama,Coosa,1690.0
1039,Alabama,Covington,2679.9
1041,Alabama,Crenshaw,1578.9
1043,Alabama,Cullman,1912.7
1045,Alabama,Dale,1453.3
1047,Alabama,Dallas,2540.3
1049,Alabama,DeKalb,2015.0
1051,Alabama,Elmore,1609.9
1053,Alabama,Escambia,2454.0
1055,Alabama,Etowah,1385.2
1057,Alabama,Fayette,1626.0
1059,Alabama,Franklin,1646.4
1061,Alabama,Geneva,1492.8
1063,Alabama,Greene,1673.0
1065,Alabama,Hale,1667.4
1067,Alabama,Henry,1455.5
1069,Alabama,Houston,1503.3
1071,Alabama,Jackson,2794.1
1073,Alabama,Jefferson,2881.8
1075,Alabama,Lamar,1566.7
1077,Alabama,Lauderdale,1734.1
1079,Alabama,Lawrence,1796.0
1081,Alabama,Lee,1576.8
1083,Alabama,Limestone,1471.4
1085,Alabama,Lowndes,1859.6
1087,Alabama,Macon,1581.4
1089,Alabama,Madison,2084.8
1091,Alabama,Marengo,2530.7
1093,Alabama,Marion,1920.4
1095,Alabama,Marshall,1468.8
1097,Alabama,Mobile,3194.4
1099,Alabama,Monroe,2657.3
1101,Alabama,Montgomery,2045.8
1103,Alabama,Morgan,1508.0
1105,Alabama,Perry,1863.6
1107,Alabama,Pickens,2283.0
1109,Alabama,Pike,1738.1
1111,Alabama,Randolph,1505.0
1113,Alabama,Russell,1660.5
1117,Alabama,Shelby,2058.8
1115,Alabama,St. Clair,1642.0
1119,Alabama,Sumter,2343.9
1121,Alabama,Talladega,1915.6
1123,Alabama,Tallapoosa,1859.7
1125,Alabama,Tuscaloosa,3432.4
1127,Alabama,Walker,2057.6
1129,Alabama,Washington,2799.1
1131,Alabama,Wilcox,2301.9
1133,Alabama,Winston,1591.5
4001,Arizona,Apache,29022.7
4003,Arizona,Cochise,15980.3
4005,Arizona,Coconino,48223.6
4007,Arizona,Gila,12349.4
4009,Arizona,Graham,11990.8
4011,Arizona,Greenlee,4784.1
4012,Arizona,La Paz,11653.9
4013,Arizona,Maricopa,23838.5
4015,Arizona,Mohave,34479.2
4017,Arizona,Navajo,25780.3
4019,Arizona,Pima,23794.3
4021,Arizona,Pinal,13908.3
4023,Arizona,Santa Cruz,3205.8
4025,Arizona,Yavapai,21040.0
4027,Arizona,Yuma,14282.4
5001,Arkansas,Arkansas,2560.3
5003,Arkansas,Ashley,2386.3
5005,Arkansas,Baxter,1435.9
5007,Arkansas,Benton,2184.2
5009,Arkansas,Boone,1531.3
5011,Arkansas,Bradley,1685.3
5013,Arkansas,Calhoun,1627.4
5015,Arkansas,Carroll,1641.5
5017,Arkansas,Chicot,1668.1
5019,Arkansas,Clark,2241.7
5021,Arkansas,Clay,1655.9
5023,Arkansas,Cleburne,1432.5
5025,Arkansas,Cleveland,1548.2
5027,Arkansas,Columbia,1984.4
5029,Arkansas,Conway,1440.6
5031,Arkansas,Craighead,1841.0
5033,Arkansas,Crawford,1542.3
5035,Arkansas,Crittenden,1581.2
5037,Arkansas,Cross,1595.2
5039,Arkansas,Dallas,1728.7
5041,Arkansas,Desha,1981.4
5043,Arkansas,Drew,2145.1
5045,Arkansas,Faulkner,1676.7
5047,Arkansas,Franklin,1578.9
5049,Arkansas,Fulton,1601.2
5051,Arkansas,Garland,1756.2
5053,Arkansas,Grant,1636.4
5055,Arkansas,Greene,1495.9
5057,Arkansas,Hempstead,1887.7
5059,Arkansas,Hot Spring,1592.8
5061,Arkansas,Howard,1521.5
5063,Arkansas,Independence,1978.4
5065,Arkansas,Izard,1504.1
5067,Arkansas,Jackson,1641.0
5069,Arkansas,Jefferson,2291.6
5071,Arkansas,Johnson,1715.1
5073,Arkansas,Lafayette,1363.7
5075,Arkansas,Lawrence,1519.3
5077,Arkansas,Lee,1558.4
5079,Arkansas,Lincoln,1453.6
5081,Arkansas,Little River,1377.3
5083,Arkansas,Logan,1838.7
5085,Arkansas,Lonoke,1982.6
5087,Arkansas,Madison,2167.7
5089,Arkansas,Marion,1548.1
5091,Arkansas,Miller,1616.3
5093,Arkansas,Mississippi,2326.6
5095,Arkansas,Monroe,1571.4
5097,Arkansas,Montgomery,2022.7
5099,Arkansas,Nevada,1605.8
5101,Arkansas,Newton,2131.6
5103,Arkansas,Ouachita,1897.2
5105,Arkansas,Perry,1427.0
5107,Arkansas,Phillips,1794.2
5109,Arkansas,Pike,1561.9
5111,Arkansas,Poinsett,1962.7
5113,Arkansas,Polk,2226.0
5115,Arkansas,Pope,2103.0
5117,Arkansas,Prairie,1673.1
5119,Arkansas,Pulaski,1996.8
5121,Arkansas,Randolph,1688.3
5125,Arkansas,Saline,1877.1
5127,Arkansas,Scott,2315.3
5129,Arkansas,Searcy,1728.0
5131,Arkansas,Sebastian,1389.2
5133,Arkansas,Sevier,1460.7
5135,Arkansas,Sharp,1565.4
5123,Arkansas,St. Francis,1641.8
5137,Arkansas,Stone,1571.2
5139,Arkansas,Union,2691.0
5141,Arkansas,Van Buren,1842.9
5143,Arkansas,Washington,2461.1
5145,Arkansas,White,2678.4
5147,Arkansas,Woodruff,1519.3
5149,Arkansas,Yell,2403.2
6001,California,Alameda,1910.1
6003,California,Alpine,1913.1
6005,California,Amador,1534.7
6007,California,Butte,4246.6
6009,California,Calaveras,2642.3
6011,California,Colusa,2980.5
6013,California,Contra Costa,1865.5
6015,California,Del Norte,2610.4
6017,California,El Dorado,4432.7
6019,California,Fresno,15444.7
6021,California,Glenn,3405.6
6023,California,Humboldt,9253.5
6025,California,Imperial,10813.4
6027,California,Inyo,26397.5
6029,California,Kern,21086.8
